z_center_m,count_parcels,count_droplets,Umean_m_s,D10_m,D32_m
2.500000000000000052e-03,0.000000000000000000e+00,0.000000000000000000e+00,nan,nan,nan
7.499999999999999722e-03,9.300000000000000000e+01,4.724203059217801126e+01,2.558528824560519155e+01,6.088433825353644941e-05,1.363935007401324709e-04
1.250000000000000069e-02,2.098000000000000000e+03,1.027762196676036638e+03,1.354173858021721166e+01,5.313833269949260819e-05,2.862204804697528584e-04
1.750000000000000167e-02,8.270000000000000000e+02,4.730165050286980204e+02,4.836553904530855874e+00,6.709678682946896633e-05,6.033991093039912197e-04
2.249999999999999917e-02,9.530000000000000000e+02,1.434137964747255501e+04,2.761108130121862736e+00,1.555333681942652817e-05,2.269985235248107532e-04
2.750000000000000014e-02,7.690000000000000000e+02,9.874984866679939159e+02,4.109085372917652634e+00,9.484454412821821992e-05,2.012144056547172162e-04
3.250000000000000111e-02,4.050000000000000000e+02,4.565290056181629552e+02,3.094152757815221033e+00,1.029983947932093329e-04,2.050903212796496703e-04
3.750000000000000555e-02,2.760000000000000000e+02,2.472811647288640131e+02,3.651621185847415685e+00,1.250478508028331985e-04,1.971708829484333997e-04
4.249999999999999611e-02,1.790000000000000000e+02,1.856992046595700003e+02,2.832635541680370572e+00,1.218643764494888206e-04,1.832622118581444257e-04
4.750000000000000056e-02,1.020000000000000000e+02,4.465460753915999703e+01,3.731550144860547480e+00,1.675540529736170450e-04,2.336578847760317800e-04
5.250000000000000500e-02,5.500000000000000000e+01,1.944832926436099640e+01,3.744474196232018492e+00,1.824824025478843004e-04,2.470467712412567911e-04
5.749999999999999556e-02,1.400000000000000000e+01,5.305796050160000554e+00,nan,nan,nan
6.250000000000000000e-02,5.000000000000000000e+00,9.130921531299999172e-01,nan,nan,nan
